,tdate,close_0,symbol_0,close_1,symbol_1,close_2,symbol_2,close_3,symbol_3,close_4,symbol_4,close_5,symbol_5
1238,2004/10/4,68.5,0,105.5,0,13.45,0,4.25,0.0,62.25,0,22.05,2
1239,2004/10/5,68.5,2,104.5,2,13.4,2,4.18,1.0,61.75,2,22.25,2
1240,2004/10/6,68.0,2,104.0,2,13.35,2,4.2,2.0,61.0,1,22.25,2
1241,2004/10/7,67.75,2,105.0,2,13.3,2,4.28,0.0,60.75,2,22.25,2
1242,2004/10/8,67.0,1,104.5,2,13.15,1,4.25,2.0,60.0,1,22.05,2
1243,2004/10/11,67.0,2,104.5,2,13.1,2,4.25,2.0,60.0,2,22.0,2
1244,2004/10/12,67.25,2,104.0,2,13.05,2,4.28,2.0,60.25,2,21.95,2
1245,2004/10/13,66.25,1,104.0,2,13.15,2,4.22,1.0,59.75,2,22.0,2
1246,2004/10/14,65.5,1,103.5,2,13.3,0,4.1,1.0,58.75,1,21.9,2
1247,2004/10/15,66.0,2,103.5,2,13.15,1,4.18,0.0,59.75,0,22.1,2
1248,2004/10/18,64.75,1,103.0,2,13.05,2,4.15,2.0,59.25,2,21.95,2
1249,2004/10/19,65.5,0,104.0,2,13.2,0,4.18,2.0,59.5,2,22.05,2
1250,2004/10/20,64.5,1,103.5,2,13.15,2,4.1,1.0,58.5,1,21.8,1
1251,2004/10/21,64.0,2,104.0,2,13.15,2,4.12,2.0,59.0,2,22.0,2
1252,2004/10/22,64.0,2,104.0,2,13.15,2,4.12,2.0,59.0,2,22.0,2
1253,2004/10/25,63.0,1,103.0,2,12.95,1,4.12,2.0,57.75,1,21.8,2
1254,2004/10/26,62.5,2,102.5,2,13.0,2,4.12,2.0,58.0,2,21.9,2
1255,2004/10/27,63.0,2,102.5,2,13.0,2,4.15,2.0,57.75,2,21.9,2
1256,2004/10/28,65.0,0,104.0,0,13.5,0,4.18,2.0,59.5,0,22.2,0
1257,2004/10/29,64.5,2,104.0,2,13.5,2,4.07,1.0,60.0,2,22.3,2
1258,2004/11/1,64.5,2,104.0,2,13.35,1,4.07,2.0,59.25,1,22.4,2
1259,2004/11/2,66.25,0,105.0,2,13.6,0,4.15,0.0,60.25,0,22.8,0
1260,2004/11/3,66.75,2,106.0,2,13.6,2,4.18,2.0,60.5,2,23.0,2
1261,2004/11/4,66.5,2,106.0,2,13.45,1,4.2,2.0,60.25,2,22.95,2
1262,2004/11/5,67.25,0,107.0,2,13.6,0,4.25,0.0,60.75,2,23.2,0
1263,2004/11/8,67.0,2,107.5,2,13.6,2,4.22,2.0,60.75,2,23.3,2
1264,2004/11/9,66.5,2,107.0,2,13.55,2,4.22,2.0,60.25,2,23.25,2
1265,2004/11/10,67.75,0,108.0,2,13.75,0,4.22,2.0,60.5,2,23.4,2
1266,2004/11/11,67.5,2,107.0,2,13.8,2,4.2,2.0,60.25,2,23.5,2
1267,2004/11/12,68.5,0,107.5,2,14.0,0,4.2,2.0,61.5,0,23.75,0
1268,2004/11/15,69.25,0,108.0,2,14.1,2,4.3,0.0,63.0,0,24.1,0
1269,2004/11/16,68.25,1,107.5,2,13.95,1,4.22,1.0,62.5,2,23.7,1
1270,2004/11/17,68.75,2,107.0,2,14.05,2,4.25,2.0,63.5,0,23.75,2
1271,2004/11/18,69.25,2,107.0,2,14.05,2,4.25,2.0,64.25,0,23.7,2
1272,2004/11/19,69.25,2,107.5,2,13.95,2,4.25,2.0,63.75,2,23.65,2
